Diet;Line;Line 1;Line 2;Line 3;SP;Prediction.OUT;Validation.OUT;FK
BK32440M;1;1;0;0;7000;;26;BK32440M_1_7000
BK32441M;1;1;0;0;7000;;26;BK32441M_1_7000
BK34688M;1;1;0;0;5500;;26;BK34688M_1_5500
BK34688M;1;1;0;0;7000;;26;BK34688M_1_7000
BK9810M;1;1;0;0;7000;;30;BK9810M_1_7000
BK5730M;1;1;0;0;6000;;30;BK5730M_1_6000
BK5850M;1;1;0;0;7000;;30;BK5850M_1_7000
BK5860M;1;1;0;0;6000;;30;BK5860M_1_6000
BK5860M;1;1;0;0;6000;;30;BK5860M_1_6000
BK34829M;1;1;0;0;7000;;31;BK34829M_1_7000
BK31126M;1;1;0;0;7000;;32;BK31126M_1_7000
BK31127M;1;1;0;0;7200;;32;BK31127M_1_7200
BK31126M;1;1;0;0;8000;;32;BK31126M_1_8000
BK31126M;1;1;0;0;8000;;32;BK31126M_1_8000
BK24099M;1;1;0;0;6000;;33;BK24099M_1_6000
BK24069m;1;1;0;0;6000;;34;BK24069m_1_6000
BK24099M;1;1;0;0;6000;;34;BK24099M_1_6000
BK33918M;1;1;0;0;6000;;35;BK33918M_1_6000
BK33958M;1;1;0;0;6000;;35;BK33958M_1_6000
BK33958M;1;1;0;0;6000;;35;BK33958M_1_6000
BK4227M;1;1;0;0;7000;;35;BK4227M_1_7000
BK4235M;1;1;0;0;7000;;35;BK4235M_1_7000
BK4236M;1;1;0;0;7000;;35;BK4236M_1_7000
BK5730M;1;1;0;0;6000;;35;BK5730M_1_6000
BK7102M;1;1;0;0;6500;;35;BK7102M_1_6500
BK7103M;1;1;0;0;6500;;35;BK7103M_1_6500
BK33918M;1;1;0;0;6000;;35;BK33918M_1_6000
BK7102M;1;1;0;0;6500;;35;BK7102M_1_6500
BK7126M;1;1;0;0;6500;;35;BK7126M_1_6500
BK28835M;1;1;0;0;7000;;36;BK28835M_1_7000
BK29710M;1;1;0;0;7000;;36;BK29710M_1_7000
BK29710M;1;1;0;0;7000;;36;BK29710M_1_7000
BK34013M;1;1;0;0;6000;;36;BK34013M_1_6000
BK6730M;1;1;0;0;6000;;36;BK6730M_1_6000
BK31119M;1;1;0;0;8800;;36;BK31119M_1_8800
BK31119M;1;1;0;0;8800;;36;BK31119M_1_8800
BK32348M;1;1;0;0;7000;;37;BK32348M_1_7000
BK5860M;1;1;0;0;6000;;37;BK5860M_1_6000
BK4474M;1;1;0;0;9000;;37;BK4474M_1_9000
BK24705M;1;1;0;0;7000;;38;BK24705M_1_7000
BK26496M;1;1;0;0;6000;;38;BK26496M_1_6000
BK26782M;1;1;0;0;6000;;38;BK26782M_1_6000
BK32595M;1;1;0;0;6000;;38;BK32595M_1_6000
BK34027M;1;1;0;0;6000;;38;BK34027M_1_6000
BK34027M;1;1;0;0;6000;;38;BK34027M_1_6000
BK34390M;1;1;0;0;7000;;38;BK34390M_1_7000
BK5735M;1;1;0;0;6000;;38;BK5735M_1_6000
BK6740M;1;1;0;0;6000;;38;BK6740M_1_6000
BK26496M;1;1;0;0;6000;;38;BK26496M_1_6000
BK34012M;1;1;0;0;6000;;38;BK34012M_1_6000
BK9555M;1;1;0;0;6500;;39;BK9555M_1_6500
BK23678M;1;1;0;0;8600;;40;BK23678M_1_8600
BK25503M;1;1;0;0;7000;;40;BK25503M_1_7000
BK32324M;1;1;0;0;8000;;40;BK32324M_1_8000
BK32324M;1;1;0;0;8000;;40;BK32324M_1_8000
BK8057M;1;1;0;0;7000;;40;BK8057M_1_7000
BK8057M;1;1;0;0;7000;;40;BK8057M_1_7000
BK25635M;1;1;0;0;6500;;40;BK25635M_1_6500
BK29476M;1;1;0;0;7000;;40;BK29476M_1_7000
