Diet;Line;Line 1;Line 2;Line 3;SP;Prediction.OUT;Validation.OUT;FK
BK5730M;2;0;1;0;6000;;24;BK5730M_2_6000
BK29473M;2;0;1;0;6000;;24;BK29473M_2_6000
BK31629M;2;0;1;0;6000;;24;BK31629M_2_6000
BK34181M;2;0;1;0;6000;;24;BK34181M_2_6000
BK34843M;2;0;1;0;6000;;24;BK34843M_2_6000
BK36160M;2;0;1;0;6000;;24;BK36160M_2_6000
BK1000M;2;0;1;0;7000;;26;BK1000M_2_7000
BK25946M;2;0;1;0;7000;;26;BK25946M_2_7000
BK28308M;2;0;1;0;7500;;26;BK28308M_2_7500
BK28321M;2;0;1;0;7000;;26;BK28321M_2_7000
BK29476M;2;0;1;0;7000;;26;BK29476M_2_7000
BK29807M;2;0;1;0;7000;;26;BK29807M_2_7000
BK29807M;2;0;1;0;7000;;26;BK29807M_2_7000
BK30644M;2;0;1;0;7000;;26;BK30644M_2_7000
BK30644M;2;0;1;0;7000;;26;BK30644M_2_7000
BK30942M;2;0;1;0;7000;;26;BK30942M_2_7000
BK4836M;2;0;1;0;7000;;26;BK4836M_2_7000
BK4836M;2;0;1;0;7000;;26;BK4836M_2_7000
BK4836M;2;0;1;0;7000;;26;BK4836M_2_7000
BK9810M;2;0;1;0;7000;;26;BK9810M_2_7000
BK9820M;2;0;1;0;7000;;26;BK9820M_2_7000
BK9830M;2;0;1;0;7500;;26;BK9830M_2_7500
BK9840M;2;0;1;0;7000;;26;BK9840M_2_7000
BK9940M;2;0;1;0;7000;;26;BK9940M_2_7000
BK9940M;2;0;1;0;7000;;26;BK9940M_2_7000
BK9980M;2;0;1;0;7000;;26;BK9980M_2_7000
BK9980M;2;0;1;0;7000;;26;BK9980M_2_7000
BK27022M;2;0;1;0;7000;;26;BK27022M_2_7000
BK28307M;2;0;1;0;7000;;26;BK28307M_2_7000
BK28325M;2;0;1;0;7000;;26;BK28325M_2_7000
BK28325M;2;0;1;0;7000;;26;BK28325M_2_7000
BK29474M;2;0;1;0;7000;;26;BK29474M_2_7000
BK29478M;2;0;1;0;6500;;26;BK29478M_2_6500
BK30395M;2;0;1;0;7000;;26;BK30395M_2_7000
BK30395M;2;0;1;0;7000;;26;BK30395M_2_7000
BK30396M;2;0;1;0;7000;;26;BK30396M_2_7000
