qm_spec_id;Line 1;Line 2;Line 3;Density_Target;Dry_Feed_Rate_PID.OUT;Dry_Feed_Rate_PID.SP
200;0;0;1;440;0;7000
37;0;1;0;528;24;6000
503;0;1;0;384;24;6000
509;0;1;0;456;24;6000
558;0;1;0;456;24;6000
603;0;1;0;456;24;6000
602;0;1;0;456;24;6000
223;0;1;0;320;26;7000
302;0;1;0;456;26;7000
308;0;1;0;456;26;7500
318;0;1;0;456;26;7000
381;0;1;0;456;26;7000
345;0;1;0;360;26;7000
345;0;1;0;360;26;7000
373;0;1;0;456;26;7000
373;0;1;0;456;26;7000
446;0;1;0;456;26;7000
31;0;1;0;440;26;7000
31;0;1;0;440;26;7000
31;0;1;0;440;26;7000
220;0;1;0;440;26;7000
238;0;1;0;456;26;7000
204;0;1;0;456;26;7000
239;0;1;0;456;26;7000
207;0;1;0;456;26;7000
232;0;1;0;456;26;7500
233;0;1;0;456;26;7000
205;0;1;0;456;26;7000
189;0;1;0;456;26;7000
189;0;1;0;456;26;7000
193;0;1;0;456;26;7000
193;0;1;0;456;26;7000
197;0;1;0;456;26;7000
198;0;1;0;456;26;7000
198;0;1;0;456;26;7000
280;0;1;0;456;26;7000
309;0;1;0;456;26;7000
435;0;1;0;440;26;7000
435;0;1;0;440;26;7000
501;0;1;0;456;26;7000
370;0;1;0;344;26;6500
412;0;1;0;456;26;7000
412;0;1;0;456;26;7000
405;0;1;0;456;26;7000
405;0;1;0;456;26;7000
372;0;1;0;456;26;7000
372;0;1;0;456;26;7000
372;0;1;0;456;26;7000
372;0;1;0;456;26;7000
373;0;1;0;456;26;7000
373;0;1;0;456;26;7000
442;0;1;0;456;26;7000
442;0;1;0;456;26;7000
445;0;1;0;456;26;7500
445;0;1;0;456;26;7500
446;0;1;0;456;26;7000
444;0;1;0;456;26;7000
444;0;1;0;456;26;7000
475;1;0;0;456;26;7000
476;1;0;0;456;26;7000
498;0;1;0;456;26;7000
498;0;1;0;456;26;7000
488;0;1;0;440;26;7000
531;0;1;0;344;26;7000
567;0;1;0;440;26;7000
599;0;1;0;456;26;7000
557;1;0;0;368;26;5500
557;1;0;0;368;26;7000
596;0;1;0;344;26;6500
557;0;1;0;368;27;7000
341;0;1;0;344;28;6500
311;0;1;0;456;28;7000
333;0;1;0;528;28;7000
541;0;1;0;456;28;6000
548;0;1;0;416;28;7000
556;0;1;0;456;28;6000
47;0;1;0;528;28;7000
136;0;1;0;344;28;6500
136;0;1;0;344;28;6500
212;0;1;0;456;28;7500
437;0;1;0;528;28;7000
312;0;1;0;456;28;7000
313;0;1;0;528;29;7000
579;0;1;0;432;29;8000
268;0;1;0;456;30;7000
243;0;0;1;416;30;8000
262;0;1;0;456;30;7000
372;0;1;0;456;30;7000
533;0;0;1;416;30;8000
199;1;0;0;528;30;6000
199;1;0;0;528;30;6000
185;0;1;0;416;30;7500
238;1;0;0;456;30;7000
194;0;1;0;456;30;7000
356;0;1;0;528;30;6000
377;0;1;0;528;30;6000
377;0;1;0;528;30;6000
422;0;1;0;416;30;7500
262;0;1;0;456;30;7000
262;0;1;0;456;30;7000
525;0;1;0;528;30;6000
37;1;0;0;528;30;6000
241;1;0;0;528;30;6000
241;1;0;0;528;30;6000
45;1;0;0;440;30;7000
172;1;0;0;440;30;7000
121;1;0;0;440;30;6000
121;1;0;0;440;30;6000
187;1;0;0;496;30;6000
218;1;0;0;528;30;6000
218;1;0;0;528;30;6000
336;0;1;0;456;31;8000
285;0;1;0;456;31;7000
413;0;1;0;528;31;7000
47;0;1;0;528;31;7000
58;0;1;0;528;31;7000
176;0;1;0;528;31;7000
379;0;1;0;528;31;7000
379;0;1;0;528;31;7000
292;0;1;0;528;31;7000
282;0;1;0;432;31;7000
288;0;1;0;528;31;7000
339;0;1;0;528;31;7000
340;0;1;0;432;31;7000
369;0;1;0;456;31;8000
363;0;1;0;528;31;7000
429;0;1;0;528;31;7000
429;0;1;0;528;31;7000
430;0;1;0;528;31;7000
432;0;1;0;432;31;7000
516;0;1;0;528;31;7000
478;0;1;0;528;31;7000
489;0;1;0;528;31;7000
495;0;1;0;528;31;7000
495;0;1;0;528;31;7000
